State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Native Source,Village Code,Pincode,Category,Status
Karnataka,Dharwad,536,Hubballi,5475,Adargunchi,ಅದರ್ಗುಂಚಿ,transliterated,602410,580024,Rural,Inhabitant
Karnataka,Hassan,539,Sakleshpur,5553,Adarvalli,ಅದರ್ವಲ್ಲಿ,transliterated,614967,573214,Rural,Inhabitant
Karnataka,Shivamogga,547,Hosanagara,5518,Adavalli,ಅದವಲ್ಲಿ,transliterated,607929,577418,Rural,Inhabitant
Karnataka,Vijayanagara,738,Hagaribommanahalli,5497,Adavi Ananda Devanahalli,ಅದವಿ ಅನಂದ ದೆವನಹಳ್ಳಿ,transliterated,924266,583212,Rural,Inhabitant
Karnataka,Chitradurga,533,Hosdurga,5507,Adavi Sangenahalli,ಅದವಿ ಸಂಗೆನಹಳ್ಳಿ,transliterated,605891,577527,Rural,Inhabitant
Karnataka,Vijayanagara,738,Kudligi,5502,Adavi Sooravvanahalli,ಅದವಿ ಸೂರವ್ವನಹಳ್ಳಿ,transliterated,605082,583135,Rural,Inhabitant
Karnataka,Hassan,539,Belur,5554,Adavibantenahalli,ಅದವಿಬಂತೆನಹಳ್ಳಿ,transliterated,615363,573216,Rural,Inhabitant
Karnataka,Raichur,546,Lingasugur,5459,Adavibhavi,ಅದವಿಭವಿ,transliterated,600423,584122,Rural,Inhabitant
Karnataka,Kolar,542,Srinivaspur,5590,Adavichambakur,ಅದವಿಚಂಬಕುರ್,transliterated,621563,563138,Rural,Inhabitant
Karnataka,Chitradurga,533,Chitradurga,5505,Adavigollarahalli,ಅದವಿಗೊಲ್ಲರಹಳ್ಳಿ,transliterated,605449,577502,Rural,Inhabitant
Karnataka,Chikkaballapura,630,Chikkaballapura,5596,Adavigollavarahalli,ಅದವಿಗೊಲ್ಲವರಹಳ್ಳಿ,transliterated,623568,562101,Rural,Inhabitant
Karnataka,Vijayanagara,738,Harapanahalli,5510,Adavihalli,ಅದವಿಹಳ್ಳಿ,transliterated,606310,583131,Rural,Inhabitant
Karnataka,Tumakuru,548,Madhugiri,5535,Adavikatanahalli,ಅದವಿಕತನಹಳ್ಳಿ,transliterated,610763,572112,Rural,Inhabitant
Karnataka,Kolar,542,Srinivaspur,5590,Adavikurapalli,ಅದವಿಕುರಪಲ್ಲಿ,transliterated,621718,563134,Rural,Inhabitant
Karnataka,Chitradurga,533,Molakalmuru,5503,Adavimallapura,ಅದವಿಮಲ್ಲಪುರ,transliterated,605211,577535,Rural,Inhabitant
