State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Village Code,Pincode,Category,Status
Andhra Pradesh,Kakinada,746,Kotananduru,4889,Surapurajupeta,,586949,533407,Rural,Inhabitant
Andhra Pradesh,East Godavari,505,Nidadavole,4960,Surapuram,,588301,534301,Rural,Inhabitant
Andhra Pradesh,Srikakulam,519,Ranastalam,4805,Surapuram,,581658,532407,Rural,Inhabitant
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,747,Uppalaguptam,4942,Surasaniyanam,,587904,533213,Rural,Inhabitant
Andhra Pradesh,Polavaram,791,Chinturu,4732,Suravada,,579229,533352,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,Gudem Kotha Veedhi,4850,Suravaram,,585515,531133,Rural,Inhabitant
Andhra Pradesh,Eluru,748,Agiripalli,5005,Suravaram,,589123,521109,Rural,Inhabitant
Andhra Pradesh,Srikakulam,519,Jalumuru,4792,Suravaram,,581106,532427,Rural,Inhabitant
Andhra Pradesh,Vizianagaram,521,Santhakaviti,4795,Suravaram,,581288,532168,Rural,Inhabitant
Andhra Pradesh,Markapuram,790,Komarolu,5134,Suravari Palle,,591218,523373,Rural,Inhabitant
Andhra Pradesh,Prakasam,517,Thallur,5121,Suraya Palem,,591001,523253,Rural,Inhabitant
Andhra Pradesh,Sri Potti Sriramulu Nellore,515,Podalakur,5176,Surayapalem,,592045,524309,Rural,Inhabitant
Andhra Pradesh,Tirupati,752,Dakkili,5186,Surayapalem,,592304,524134,Rural,Inhabitant
Andhra Pradesh,Chittoor,503,Karvetinagar,5408,Surendranagaram,,596439,517583,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,Koyyuru,4851,Surendrapalem,,585595,531087,Rural,Inhabitant
Andhra Pradesh,Bapatla,750,Bhattiprolu,5089,Surepalle,,590427,522256,Rural,Inhabitant
Andhra Pradesh,Eluru,748,Musunuru,5002,Surepalle,,589032,521213,Rural,Inhabitant
Andhra Pradesh,Markapuram,790,Tarlupadu,5118,Surepalle,,590899,523371,Rural,Inhabitant
Andhra Pradesh,Palnadu,751,Vinukonda,5062,Surepalle,,590077,522647,Rural,Inhabitant
Andhra Pradesh,Ananthapuramu,502,Putlur,5326,Surepalli,,595019,515414,Rural,Inhabitant
Andhra Pradesh,Anakapalli,744,K.Kotapadu,4860,Suriddipalem,,586013,531034,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,G.Madugula,4848,Surimetta,,584820,531029,Rural,Inhabitant
Andhra Pradesh,Srikakulam,519,Meliaputti,4774,Surjini,,580180,532216,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,Munchingi Puttu,4841,Surtaniputtu,,583500,531040,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,G.Madugula,4848,Surtipalle,,584803,531029,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,G.Madugula,4848,Surtipalle,,584880,531029,Unmapped,Inhabitant
Andhra Pradesh,Tirupati,752,Nagalapuram,5403,Surutupalle,,596349,517581,Rural,Inhabitant
Andhra Pradesh,Sri Potti Sriramulu Nellore,515,Muthukur,5181,Survepalle Bit - V,,592163,524321,Rural,Inhabitant
Andhra Pradesh,Sri Potti Sriramulu Nellore,515,Venkatachalam,5182,Survepalle Bit – II,,592182,524321,Rural,Inhabitant
Andhra Pradesh,Sri Potti Sriramulu Nellore,515,Venkatachalam,5182,Survepalle Bit-I,,592181,524321,Rural,Inhabitant
Andhra Pradesh,Sri Potti Sriramulu Nellore,515,Venkatachalam,5182,Survepalle-Iii @ Iskapalem,,592186,524323,Rural,Inhabitant
Andhra Pradesh,Sri Potti Sriramulu Nellore,515,Venkatachalam,5182,Survepalle-Iv @ N.G.Palem,,592187,524323,Rural,Inhabitant
Andhra Pradesh,Srikakulam,519,Vajrapukotturu,4781,Suryamanipuram,,580572,532211,Rural,Inhabitant
Andhra Pradesh,Tirupati,752,Kumara Venkata Bhupala Puram,5382,Suryanarayana Puram,,596003,517643,Rural,Inhabitant
Andhra Pradesh,Srikakulam,519,Sarubujjili,4793,Suryanarayanapuram,,581185,532190,Rural,Inhabitant
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,747,Alamuru,4925,Suryarao Peta,,912451,533232,Rural,Inhabitant
Andhra Pradesh,East Godavari,505,Undrajavaram,4970,Suryaraopalem,,588518,534156,Rural,Inhabitant
Andhra Pradesh,Kakinada,746,Kakinada (Rural),4913,Suryaraopeta (Ct),,587503,533005,Rural,Inhabitant
Andhra Pradesh,Srikakulam,519,Polaki,4800,Susaram,,581475,532430,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,Munchingi Puttu,4841,Suttiguda,,583322,531040,Rural,Inhabitant
Andhra Pradesh,Polavaram,791,Rampachodavaram,4895,Suvarlavada,,587157,533288,Rural,Inhabitant
Andhra Pradesh,Srikakulam,519,Mandasa,4776,Suvarnapuram,,580377,532243,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,G.Madugula,4848,Suvvapadu,,584935,531029,Rural,Inhabitant
Andhra Pradesh,Bapatla,750,Karamchedu,5109,Swarna,,590731,523170,Rural,Inhabitant
